HGNC.symbol
APC
CREBBP
CSNK2A1
CTBP1
CTNNB1
GSK3B
HNF1A
MAP3K7
MYC
NLK
PPARD
PPP2CA
SMAD4
TLE1
EP300
SKIL
SMAD2
TGFB2
TGFB3
ZFYVE9
AKT1
CHUK
ELK1
NFKB1
PIK3CA
PIK3R1
RALA
RELA
