"Gene.Name"
"AGO3"
"KDM4A"
"CSDE1"
"GATAD2B"
"DENND4B"
"KLHL20"
"AKT3"
"ZEB2"
"HECW2"
"SF3B1"
"SATB2"
"PLCL2"
"WDR82"
"PBRM1"
"SEC61A1"
"STAG1"
"FXR1"
"HCN1"
"PDE4D"
"ZSWIM6"
"ETF1"
"IK"
"CUL9"
"GRM3"
"SND1"
"BRAF"
"PUF60"
"CNNM2"
"CKAP5"
"CACNA1C"
"PCBP2"
"LRP1"
"R3HDM2"
"ATP2A2"
"PPP1CC"
"PITPNM2"
"SBNO1"
"NPAS3"
"BCL11B"
"KLC1"
"TAOK2"
"PPP4C"
"CNOT1"
"TCF4"
"MAU2"
"PRMT1"
"KCNB1"
"EEF1A2"
"CACNA1I"
