Gene.Name
PLCH2
LINC01672
RERE-AS1
GMEB1
OPRD1
LINC01648
C1orf216
AGO3
MAP7D1
MPL
PTPRF
KDM4A
ST3GAL3
SHMT1P1
SLC6A9
PDE4B
KRT8P21
RN7SKP19
LINC01360
LINC02238
DPYD
DPYD-IT1
RPL26P9
LINC01930
MIR137HG
MIR2682
MIR137
NFU1P2
NRAS
CSDE1
SIKE1
SYCP1
TSPAN2
NGF-AS1
NGF
VPS45
PLEKHO1
GATAD2B
DENND4B
MIR6737
RPS27
KLHL20
CENPL
ZBTB37
BRINP2
LINC00862
ZNF281
GALNT2
SDCCAG8
MIR4677
AKT3
FABP7P1
AKT3-IT1
MYT1L-AS1
LINC01884
AGBL5
OST4
TRIM54
UCN
RBKS
EIF2AK2
NDUFAF7
PRKD3
RNU6-939P
FOXN2
ACTG1P22
VRK2
FANCL
EIF3FP3
LINC01795
LINC01122
SFXN5
ANKRD23
FAM178B
IGKV2OR2-1
GPAT2P2
FAHD2B
ZEB2
RNU6-1001P
DPP4
METAP1D
DLX1
DLX2
DLX2-DT
ZNF804A
RPL23AP33
HECW2
ANKRD44
ANKRD44-IT1
NPM1P46
SF3B1
SNORA4
RNU6-1029P
COQ10B
SNORA105A
SNORA105B
HSPD1
HSPE1
HSPE1-MOB4
MOB4
RFTN2
MARS2
BOLL
PLCL1
RNU7-147P
SATB2
FTCDNL1
RN7SL717P
C2orf69
TYW5
MAIP1
SPATS2L
ERBB4
EFHD1
GIGYF2
EEF1B2P7
KCNJ13
RNU6-107P
SNORC
NGEF
PLCL2
TBC1D5
RBMS3
LINC02033
ZKSCAN7-AS1
ZNF197
ZNF35
ACTBP13
HYAL2
ALDOAP1
ALAS1
TLR9
TWF2
PPM1M
WDR82
MIRLET7G
GLYCTK
GLYCTK-AS1
MIR135A1
DNAH1
BAP1
PHF7
SEMA3G
TNNC1
NISCH
STAB1
NT5DC2
SMIM4
PBRM1
RNU6-856P
RNU6ATAC16P
GNL3
SNORD136
SNORD19B
SNORD19
SNORD19C
SNORD69
GLT8D1
SPCS1
NEK4
ITIH1
ITIH3
ITIH4
ITIH4-AS1
MUSTN1
TMEM110-MUSTN1
STIMATE
MIR8064
SFMBT1
SERBP1P3
RFT1
TKT
SNORA26
FHIT
C3orf49
THOC7
THOC7-AS1
ATXN7
SCAANT1
PSMD6-AS2
PSMD6-AS1
PRICKLE2
FOXP1
LINC02050
SEC61A1
RNU6-823P
NDUFS6P1
PPP2R3A
MSL2
TDGF1P6
PCCB
STAG1
RNU6-1284P
RNY4P4
RNU6-789P
RNU6-486P
FLYWCH1P1
FXR1
DNAJC19
SOX2-OT
RNU6-2
RNU6-4P
RPL7AP25
PCGF3
PCDH7
GSX2
NAA11
BANK1
MTND5P5
SLC39A8
YWHAEP4
GPM6A
MRPS30-DT
MRPS30
HCN1
PLK2
PDE4D
SMIM15-AS1
LINC02057
ZSWIM6
RPL3P6
MEF2C-AS1
SLCO6A1
EFNA5
ETF1
HSPA9
SNORD63B
SNORD63
CXXC5-AS1
CXXC5
IK
HARS2
ZMAT2
VTRNA1-2
VTRNA1-3
LINC01470
MFAP3
CMAHP
CARMIL1
SCGN
HIST1H2AA
HIST1H2BA
HIST1H2BPS1
HIST1H2APS1
SLC17A4
SLC17A1
SLC17A3
HIST1H2APS2
SLC17A2
TRIM38
HIST1H1PS2
HIST1H1A
HIST1H3A
HIST1H4A
HIST1H4B
HIST1H3B
HIST1H2AB
HIST1H2BB
HIST1H2APS5
HIST1H3C
HIST1H1C
HFE
HIST1H4C
HIST1H1T
HIST1H2BC
HIST1H2AC
HIST1H1E
HIST1H2BD
LARP1P1
HIST1H2BE
HIST1H4D
HIST1H1PS1
HIST1H3D
HIST1H2AD
HIST1H2BF
HIST1H4E
HIST1H3E
HIST1H2APS3
HIST1H1D
HIST1H4F
HIST1H3G
HIST1H2APS4
HIST1H2BI
HIST1H4H
HIST1H3PS1
BTN3A2
BTN2A2
BTN3A1
BTN2A3P
BTN3A3
BTN2A1
BTN1A1
RNU6-502P
HCG11
HMGN4
ABT1
VN1R14P
ZNF322
GUSBP2
POM121L6P
LINC00240
TRNAI2
VN1R12P
VN1R13P
VN1R11P
RNU2-62P
HIST1H2BJ
HIST1H2AG
HIST1H4I
HIST1H2BK
MIR3143
HIST1H2AH
RPL10P2
PRSS16
POM121L2
VN1R10P
ZNF204P
ZNF391
ZNF184
MCFD2P1
SRF
CUL9
RPL12P47
ADGRB3
PGM3
RWDD2A
MAD1L1
MIR4655
SNORA114
MRM2
NUDT1
MIR6836
MPP6
SUMO2P14
GSDME
GRM3
ABCB1
RUNDC3B
ADAM22
LINC01004
SNORD112
KMT2E-AS1
KMT2E
SRPK2
RWDD4P1
RNU6-1322P
SND1
LRRC4
EXOC4
DGKI
BRAF
MSRA
CNOT7
