"HGNC.symbol"
"ACTG1"
"ACTR2"
"ACTR3"
"AHCYL1"
"ANKRD17"
"AP2M1"
"ARF1"
"ARIH1"
"ARIH2"
"ATP2B1"
"ATP2C1"
"ATP5B"
"ATRX"
"BAZ1B"
"BPTF"
"BRD4"
"CAMTA1"
"CCAR1"
"CELF1"
"CHD1"
"CHD4"
"CHD9"
"CNOT2"
"CNOT4"
"COL1A1"
"COL2A1"
"COPS2"
"COPS4"
"COPS5"
"CPSF6"
"CSDE1"
"CSNK1A1"
"CSNK1E"
"CSNK2A1"
"CSNK2B"
"CSTF3"
"CTNNA1"
"CTNNB1"
"CUX1"
"DDB1"
"DDX17"
"DDX3X"
"DDX46"
"DDX6"
"DHX15"
"DHX9"
"DNMT1"
"DYNC1H1"
"EEF1A1"
"EEF2"
"EHMT2"
"EIF2S3"
"EIF3D"
"EIF3E"
"EIF4A1"
"EIF4A2"
"EIF4A3"
"ELAVL1"
"FADS1"
"FAM49B"
"FXR1"
"FZD2"
"GDI1"
"GGNBP2"
"GNAI2"
"GNB2"
"GNB2L1"
"GSPT1"
"H2AFY"
"H3F3A"
"HDAC2"
"HDAC3"
"HDLBP"
"HNRNPA3"
"HNRNPH1"
"HNRNPH2"
"HNRNPK"
"HNRNPL"
"HNRNPR"
"HNRNPU"
"HNRNPUL1"
"HSPA5"
"HSPA8"
"IK"
"ILF2"
"INTS6"
"IPO5"
"ITGB1"
"JADE1"
"KAT5"
"KDM2B"
"KEAP1"
"KIF2A"
"KLC1"
"KLHDC3"
"KMT2A"
"KPNA3"
"KPNB1"
"MAT2A"
"MEIS1"
"MTA1"
"MYH10"
"NCOR1"
"NONO"
"NPEPPS"
"NR2F1"
"NR2F2"
"NRBP1"
"NTRK2"
"NUDT21"
"PA2G4"
"PABPC1"
"PAFAH1B1"
"PAK2"
"PAPOLA"
"PBRM1"
"PBX1"
"PCBP1"
"PCBP2"
"PDS5B"
"PHIP"
"PLXNB2"
"POGZ"
"PPM1G"
"PPP1CA"
"PPP1CB"
"PPP1CC"
"PPP2CA"
"PPP2R1A"
"PPP2R2A"
"PPP2R5E"
"PPP4C"
"PRKAR1A"
"PRMT1"
"PRPF19"
"PRPF40A"
"PRPF4B"
"PRPS1"
"PSMC1"
"PSMC2"
"PSMC3"
"PSMC4"
"PSMC5"
"PSMC6"
"PSMD1"
"PSMD14"
"PTPRS"
"PUM1"
"RAC1"
"RAN"
"RBBP4"
"RBM10"
"RBM17"
"RBM22"
"RBM25"
"RBM39"
"RBM5"
"RBPJ"
"RHOA"
"RNF145"
"ROCK1"
"RQCD1"
"RTF1"
"RUVBL2"
"SBNO1"
"SEC61A1"
"SF1"
"SF3A3"
"SF3B1"
"SF3B2"
"SIAH1"
"SMAD2"
"SMARCA4"
"SMARCA5"
"SMARCB1"
"SMARCC2"
"SMC3"
"SMU1"
"SND1"
"SNRNP70"
"SPIN1"
"SPOP"
"SRP54"
"SRSF1"
"SSRP1"
"STAT3"
"SUPT16H"
"SYNCRIP"
"TARDBP"
"TBL1XR1"
"TCERG1"
"TCF4"
"THOC2"
"TIAL1"
"TLE4"
"TM9SF2"
"TM9SF3"
"TNPO1"
"TOP1"
"TOP2B"
"TRA2B"
"TRIM27"
"TRIM33"
"TUBA1A"
"TUBA1B"
"TUBB"
"TUBB2B"
"TUBB4B"
"U2SURP"
"UBC"
"UBE2H"
"UBE2I"
"UBE2K"
"UBE3A"
"UBTF"
"USP11"
"USP22"
"VCP"
"VPS35"
"WDR13"
"WDR33"
"WHSC1L1"
"XPO1"
"XRCC6"
"YWHAZ"
"YY1"
"ZFR"
"ZNF148"
