"REACTOME_CHROMATIN_MODIFYING_ENZYMES"
"ACTB"
"ACTL6B"
"ARID1A"
"ASH1L"
"BRPF1"
"CARM1"
"CHD3"
"CHD4"
"CREBBP"
"DNMT3A"
"EHMT2"
"EZH2"
"GATAD2B"
"HCFC1"
"HDAC2"
"HDAC3"
"JADE1"
"KAT2A"
"KAT5"
"KAT7"
"KAT8"
"KDM1A"
"KDM2A"
"KDM2B"
"KDM3B"
"KDM4A"
"KDM4B"
"KDM5C"
"KMT2A"
"KMT2B"
"KMT2D"
"MTA1"
"MTA2"
"NCOR1"
"NFKB1"
"NFKB2"
"NSD1"
"OGT"
"PBRM1"
"PHF2"
"PHF8"
"PRMT1"
"RBBP4"
"RBBP5"
"RUVBL1"
"RUVBL2"
"SAP130"
"SETD1B"
"SETDB1"
"SMARCA2"
"SMARCA4"
"SMARCB1"
"SMARCC2"
"SMARCD1"
"SUV39H1"
"SUV39H2"
"SUZ12"
"TBL1XR1"
"TRRAP"
"USP22"
"WDR5"
