"Gene.Names"
"KMT2E"
"ZFX"
"DBF4"
"MARK4"
"DNAJC11"
"JARID2"
"RANBP9"
"PPP5C"
"MBTPS2"
"MATR3"
"AGPS"
"ERP44"
"GCLM"
"PHF20"
"RABEP1"
"ZZZ3"
"TRIO"
"BCAR1"
"FOXC1"
"ZFR"
"ZC3H11A"
"WNK1"
"EIF4B"
"PKN2"
"TRAM2"
"CDK13"
"KDM4A"
"HDAC4"
"OTUD5"
"GRIPAP1"
"IP6K2"
"SLC44A1"
"TRIP13"
"DERL2"
"KDM5A"
"CLASP1"
"EED"
"ZNF638"
"FOSL2"
"ACTB"
"TOP2B"
"TM9SF3"
"SENP1"
"DDX1"
"SRCAP"
"CNOT4"
"NFE2L1"
"CHERP"
"GNAO1"
"RPL6"
"FUS"
"RCOR1"
"TFAP4"
"USP48"
"WDR7"
"HIRA"
"EIF3D"
"PPM1A"
"SRP54"
"ADNP"
"DIDO1"
"POFUT1"
"CELF4"
"POLA1"
"RBBP7"
"HTATSF1"
"FNDC3A"
"ARHGEF7"
"NUTF2"
"CAPN15"
"HERC1"
"RAB11A"
"MAP4K1"
"SGTA"
"DYRK1B"
"PRKD2"
"PTPRS"
"MET"
"EIF3B"
"NRF1"
"LHX6"
"DNM1"
"CCNJ"
"GTPBP4"
"UBTF"
"PSMD3"
"MTMR4"
"LUC7L3"
"EIF4G2"
"CNOT2"
"NOP2"
"ATN1"
"RIC8B"
"CCNC"
"E2F3"
"C6orf62"
"ARRDC3"
"LNPEP"
"KPNA1"
"PDCD10"
"KANSL3"
"NCL"
"EIF2B4"
"CCDC88A"
"CCT4"
"BIRC6"
"SRSF7"
"SOS1"
"DNAJC6"
"MFN2"
"SMG7"
"SRSF11"
"ETV3"
"PRPF3"
"RCOR3"
"STAG1"
"KMT2A"
"HEATR1"
"FBXW2"
"RBM25"
"EPC1"
"COPS5"
"RDH10"
"PDS5A"
"RPL5"
"HERPUD2"
"CLTA"
"TRIM24"
"P4HA1"
"RASSF8"
"TUBA1B"
"NCOA5"
"PLAGL2"
"AGO3"
"SCAF1"
"TRAF2"
"PSMA1"
"SAFB2"
"EIF2S3"
"DHX30"
"RAN"
"DCAF8"
"CSNK1G2"
"MORC2"
"RRAS2"
"MEIS2"
"CEPT1"
"SLC38A2"
"CDC73"
"FADS2"
"PHF21A"
"CAPRIN1"
"HNRNPA1"
"ACVR1B"
"MDM2"
"DYNC1LI2"
"DHX9"
"EPC2"
"SPRY2"
"NMT1"
"KLF4"
"NCBP1"
"ANP32B"
"KIF13A"
"TFAP2A"
"YAP1"
"HNRNPD"
"SEC24B"
"CUL4A"
"NAA30"
"CLTC"
"GNAL"
"CSNK1D"
"CBX4"
"ZCCHC2"
"SAE1"
"RERE"
"MTF2"
"MCL1"
"GATAD2B"
"SNRNP200"
"HSPD1"
"SKP2"
"PLK2"
"SSBP2"
"FBXL17"
"ZMAT2"
"PHIP"
"C7orf26"
"ATXN7L1"
"MEPCE"
"IGSF1"
"RPL7"
"ZEB1"
"TAF5"
"ZC3H12C"
"TAOK2"
"ITGB1"
"MTMR12"
"IPMK"
"CACUL1"
"DST"
"HNRNPU"
"RANBP2"
"NR4A2"
"ASAP1"
"TRIP12"
"NUS1"
"AZIN1"
"EEF1A1"
"UTP14A"
"ATAD2"
"RNF111"
"B4GALT5"
"CCAR2"
"PAXBP1"
"SON"
"CTBP1"
"ZER1"
"SAFB"
"UBE2Q1"
"RPL8"
"EIF4A1"
"USP24"
"NFIA"
"USP1"
"FUBP1"
"RBM15"
"ARHGAP25"
"CCNL1"
"U2SURP"
"WDR43"
"PBRM1"
"HMGB2"
"NIPBL"
"RICTOR"
"UTP15"
"HNRNPK"
"NOL6"
"TSC1"
"ZNF219"
"SPRED1"
"ZNF319"
"COPS2"
"CCT2"
"ARIH1"
"AP1G1"
"MBD6"
"FBXO22"
"CDK12"
"ANKRD11"
"RPL13"
"EEF2"
"CHAF1A"
"DDB1"
"CTNNB1"
"ATXN2L"
"CDKN2AIP"
"SLC20A2"
"MAT2A"
"HNRNPH1"
"FASN"
"HNRNPF"
"SIX2"
"PRKCE"
"LRRC8D"
"PTGER4"
"BCL2L1"
"BPTF"
"CTPS1"
"RPS7"
"PAIP1"
"ZNF131"
"GNB2"
"ZNF24"
"BANP"
"PPP1CA"
"DAB1"
"RBM4"
"ZBTB4"
"RALGAPA1"
"CNIH2"
"KLC2"
"EIF3F"
"CHMP6"
"CHD9"
"NR2C2"
"SH2B1"
"BEND3"
"RCC2"
"PTPN11"
"PUF60"
"EXOC3"
"ZNF609"
"SCRIB"
"POLR2A"
"NPLOC4"
"SF3A3"
"ASB7"
"XPOT"
"RBM33"
"FAF1"
"BRWD1"
"YTHDF3"
"PTCH1"
"KPNA4"
"HEXIM1"
"USP7"
"TUBB"
"SUPT5H"
"MYO18A"
"HDAC2"
"PCBP2"
"DDI2"
"FAR1"
"ZNF770"
"MAN1A2"
"TFDP1"
"PIM3"
"CALM1"
"FOXJ3"
"CHAMP1"
"RUSC2"
"SGMS1"
"BRD2"
"ZBTB12"
"GNL1"
"NEURL4"
"RBM14"
"ISY1"
"RBM14-RBM4"
"PRKDC"
"EEF1G"
"ISY1-RAB43"
"HSPE1-MOB4"
