HGNC.symbol
APC
AXIN1
BTRC
CCND1
CREBBP
CSNK2A1
CTBP1
CTNNB1
DVL1
FRAT1
FZD1
GSK3B
HDAC1
HNF1A
MAP3K7
MYC
NLK
PPARD
PPP2CA
SMAD4
TAB1
TLE1
WIF1
WNT1
CDH1
EP300
MAP2K1
MAPK3
SKIL
SMAD2
SMAD3
SMAD7
TGFB1
TGFB2
TGFB3
TGFBR1
TGFBR2
ZFYVE9
AKT1
BAD
CASP9
CDC42
CHUK
ELK1
FOXO4
HRAS
NFKB1
PIK3CA
PIK3CG
PIK3R1
PLD1
RAC1
RAF1
RALA
RALBP1
RALGDS
RELA
RHOA
