HGNC.symbol,Alias
PLXNB1,PLXNB1
PLXNB2,PLXNB2
PLXND1,PLXND1
PORCN,PORCN
POU3F3,POU3F3
PPP3R1,PPP3R1
PRICKLE1,PRICKLE1
PSAP,PSAP
PTEN,PTEN
PTGIS,PTGIS
PTGS2,PTGS2
PTK7,PTK7
PTPRF,PTPRF
PTPRS,PTPRS
PTRH2,PTRH2
PYGO1,PYGO1
PYGO2,PYGO2
QRICH1,QRICH1
RARA,RARA
RARB,RARB
RARG,RARG
RDH10,RDH10
REN,REN
RERE,RERE
RET,RET
ROBO1,ROBO1
ROBO2,ROBO2
RRM2B,RRM2B
RSPO2,RSPO2
SALL1,SALL1
SALL2,SALL2
SALL4,SALL4
SC5D,SC5D
SCARB2,SCARB2
SDCCAG8,SDCCAG8
SESTD1,SESTD1
SGPL1,SGPL1
SGSH,SGSH
SH3PXD2A,SH3PXD2A
SHH,SHH
SIX1,SIX1
SIX2,SIX2
SLC12A1,SLC12A1
SLC2A9,SLC2A9
SLC41A3,SLC41A3
SLIT3,SLIT3
SMAD3,SMAD3
SMAD4,SMAD4
SMG9,SMG9
SOX4,SOX4
SPRY1,SPRY1
SPTB,SPTB
SULF1,SULF1
SULF2,SULF2
T,T
TBX18,TBX18
TBX6,TBX6
TCF21,TCF21
TFAP2B,TFAP2B
TFCP2L1,TFCP2L1
TGFB2,TGFB2
TIMP3,TIMP3
TNS1,TNS1
TOM1L2,TOM1L2
TP53,TP53
TSC1,TSC1
TSC2,TSC2
TSHZ3,TSHZ3
TWSG1,TWSG1
TYR,TYR
UOX,UOX
VAMP8,VAMP8
VANGL2,VANGL2
VHL,VHL
WAS,WAS
WNT11,WNT11
WNT4,WNT4
WNT5A,WNT5A
WNT7B,WNT7B
WNT9B,WNT9B
WT1,WT1
WWTR1,WWTR1
XDH,XDH
XYLT2,XYLT2
YES1,YES1
