HGNC.symbol
ACHE
AMOT
CDK6
CELSR1
CNTFR
CRMP1
DPYSL2
ETS2
L1CAM
LDB1
MYH9
NF1
NRP1
OPHN1
PTCH1
RASA1
RTN1
SHH
SLIT1
TLE1
TLE3
